movie,similar_movie
"Face in the Crowd, A ",Return of Martin Guerre
"Face in the Crowd, A ",Honey (Miele) 
Trading Places ,Andrew Dice Clay: Dice Rules 
Trading Places ,Night Shift 
Trading Places ,Joe Dirt 2: Beautiful Loser 
Trading Places ,I'm Starting From Three (Ricomincio da Tre) 
Trading Places ,My Boyfriend's Back 
Meatballs ,Andrew Dice Clay: Dice Rules 
Meatballs ,Night Shift 
Meatballs ,Joe Dirt 2: Beautiful Loser 
Meatballs ,I'm Starting From Three (Ricomincio da Tre) 
Meatballs ,My Boyfriend's Back 
Meatballs Part II ,Andrew Dice Clay: Dice Rules 
Meatballs Part II ,Night Shift 
Meatballs Part II ,Joe Dirt 2: Beautiful Loser 
Meatballs Part II ,I'm Starting From Three (Ricomincio da Tre) 
Meatballs Part II ,My Boyfriend's Back 
Meatballs III ,Andrew Dice Clay: Dice Rules 
Meatballs III ,Night Shift 
Meatballs III ,Joe Dirt 2: Beautiful Loser 
Meatballs III ,I'm Starting From Three (Ricomincio da Tre) 
Meatballs III ,My Boyfriend's Back 
Meatballs 4 ,Andrew Dice Clay: Dice Rules 
Meatballs 4 ,Night Shift 
Meatballs 4 ,Joe Dirt 2: Beautiful Loser 
Meatballs 4 ,I'm Starting From Three (Ricomincio da Tre) 
Meatballs 4 ,My Boyfriend's Back 
Dead Again ,Stage Fright 
Dead Again ,Masquerade 
Dead Again ,Spellbound 
Dead Again ,Three Days of the Condor (3 Days of the Condor) 
Peter's Friends ,My Father the Hero (Mon père
Peter's Friends ,Miracle on 34th Street 
Peter's Friends ,Mrs. Doubtfire 
Peter's Friends ,Liberal Arts 
Peter's Friends ,Mental 
"Incredibly True Adventure of Two Girls in Love, The ",I'll Be Home For Christmas 
"Incredibly True Adventure of Two Girls in Love, The ",Guru
"Incredibly True Adventure of Two Girls in Love, The ",Hard Promises 
"Incredibly True Adventure of Two Girls in Love, The ",40 Days and 40 Nights 
"Incredibly True Adventure of Two Girls in Love, The ",10 
Under the Rainbow ,Andrew Dice Clay: Dice Rules 
Under the Rainbow ,Night Shift 
Under the Rainbow ,Joe Dirt 2: Beautiful Loser 
Under the Rainbow ,I'm Starting From Three (Ricomincio da Tre) 
Under the Rainbow ,My Boyfriend's Back 
Anywhere But Here ,My Father the Hero (Mon père
Anywhere But Here ,Miracle on 34th Street 
Anywhere But Here ,Mrs. Doubtfire 
Anywhere But Here ,Liberal Arts 
Anywhere But Here ,Mental 
Dogma ,Hook 
Dogma ,Erik the Viking 
Dogma ,Asterix & Obelix: Mission Cleopatra (Astérix & Obélix: Mission Cléopâtre) 
Dogma ,Mirror Mirror 
Dogma ,Life Aquatic with Steve Zissou
"Messenger: The Story of Joan of Arc, The ",Human Condition I
"Messenger: The Story of Joan of Arc, The ",Boy in the Striped Pajamas
"Messenger: The Story of Joan of Arc, The ",Ashes and Diamonds (Popiól i diament) 
"Messenger: The Story of Joan of Arc, The ",Turtles Can Fly (Lakposhtha hâm parvaz mikonand) 
"Messenger: The Story of Joan of Arc, The ",Gardens of Stone 
Pokémon: The First Movie ,Space Jam 
Pokémon: The First Movie ,Home 
Pokémon: The First Movie ,Batman/Superman Movie
Pokémon: The First Movie ,Laputa: Castle in the Sky (Tenkû no shiro Rapyuta) 
Felicia's Journey ,Return to Sender 
Felicia's Journey ,Torn Curtain 
Felicia's Journey ,Cop 
Felicia's Journey ,Hideaway 
Felicia's Journey ,Swimfan 
Oxygen ,Boiler Room 
Oxygen ,Citizen X 
Oxygen ,Cleanskin 
Oxygen ,Perfect World
Oxygen ,Anything for Her (Pour elle) 
Where's Marlowe? ,Andrew Dice Clay: Dice Rules 
Where's Marlowe? ,Night Shift 
Where's Marlowe? ,Joe Dirt 2: Beautiful Loser 
Where's Marlowe? ,I'm Starting From Three (Ricomincio da Tre) 
Where's Marlowe? ,My Boyfriend's Back 
"Commitments, The ",It's All Gone Pete Tong 
"Commitments, The ",Everybody's Famous! (Iedereen beroemd!) 
"Commitments, The ",Hair 
"Commitments, The ",24 Hour Party People 
"Commitments, The ",Chorus Line
Holiday Inn ,Funny Face 
Holiday Inn ,Producers
Holiday Inn ,Very Potter Musical
Holiday Inn ,History of the World: Part I 
Holiday Inn ,How to Succeed in Business Without Really Trying 
"Longest Day, The ",Behind Enemy Lines 
"Longest Day, The ",The Great Raid 
"Longest Day, The ",Monuments Men
"Longest Day, The ",Thin Red Line
"Longest Day, The ",Fury 
Poison Ivy ,The Perfect Guy 
Poison Ivy ,Niagara 
Poison Ivy ,First Snow 
Poison Ivy ,Firm
Poison Ivy ,Bad Education (La mala educación) 
Poison Ivy: New Seduction ,The Perfect Guy 
Poison Ivy: New Seduction ,Niagara 
Poison Ivy: New Seduction ,First Snow 
Poison Ivy: New Seduction ,Firm
Poison Ivy: New Seduction ,Bad Education (La mala educación) 
Tora! Tora! Tora! ,Behind Enemy Lines 
Tora! Tora! Tora! ,The Great Raid 
Tora! Tora! Tora! ,Monuments Men
Tora! Tora! Tora! ,Thin Red Line
Tora! Tora! Tora! ,Fury 
Women on the Verge of a Nervous Breakdown (Mujeres al borde de un ataque de nervios) ,My Father the Hero (Mon père
Women on the Verge of a Nervous Breakdown (Mujeres al borde de un ataque de nervios) ,Miracle on 34th Street 
Women on the Verge of a Nervous Breakdown (Mujeres al borde de un ataque de nervios) ,Mrs. Doubtfire 
Women on the Verge of a Nervous Breakdown (Mujeres al borde de un ataque de nervios) ,Liberal Arts 
Women on the Verge of a Nervous Breakdown (Mujeres al borde de un ataque de nervios) ,Mental 
"Verdict, The ",Klute 
"Verdict, The ",Smiley's People 
"Verdict, The ",Buster's Mal Heart 
"Verdict, The ",Anatomy of a Murder 
"Verdict, The ",Birth 
"Adventures of Buckaroo Banzai Across the 8th Dimension, The ",Back to the Future Part II 
"Adventures of Buckaroo Banzai Across the 8th Dimension, The ",Howard the Duck 
"Adventures of Buckaroo Banzai Across the 8th Dimension, The ",Paul 
"Adventures of Buckaroo Banzai Across the 8th Dimension, The ",Barbarella 
"Adventures of Buckaroo Banzai Across the 8th Dimension, The ",Hitch Hikers Guide to the Galaxy
Stand and Deliver ,My Father the Hero (Mon père
Stand and Deliver ,Miracle on 34th Street 
Stand and Deliver ,Mrs. Doubtfire 
Stand and Deliver ,Liberal Arts 
Stand and Deliver ,Mental 
Moonstruck ,I'll Be Home For Christmas 
Moonstruck ,Guru
Moonstruck ,Hard Promises 
Moonstruck ,40 Days and 40 Nights 
Moonstruck ,10 
"Sandpiper, The ",Crazy/Beautiful 
"Sandpiper, The ",Memoirs of a Geisha 
"Sandpiper, The ",To Gillian on Her 37th Birthday 
"Sandpiper, The ",Beautiful Thing 
"Sandpiper, The ",Girl on the Bridge
Jeremiah Johnson ,Open Range 
Jeremiah Johnson ,High Plains Drifter 
Jeremiah Johnson ,Winchester '73 
Jeremiah Johnson ,The Dark Valley 
Jeremiah Johnson ,True Grit 
Repulsion ,Baxter 
Repulsion ,Martin 
Repulsion ,Ghost Story 
Repulsion ,Confessions (Kokuhaku) 
Repulsion ,Amer 
Irma la Douce ,Andrew Dice Clay: Dice Rules 
Irma la Douce ,Night Shift 
Irma la Douce ,Joe Dirt 2: Beautiful Loser 
Irma la Douce ,I'm Starting From Three (Ricomincio da Tre) 
Irma la Douce ,My Boyfriend's Back 
42 Up ,Dancemaker 
42 Up ,Regret to Inform 
42 Up ,Little Dieter Needs to Fly 
42 Up ,First Position 
42 Up ,Amanda Knox 
Liberty Heights ,French Lieutenant's Woman
Liberty Heights ,Camera Buff (Amator) 
Liberty Heights ,Children Are Watching Us
Liberty Heights ,Return of Martin Guerre
Liberty Heights ,Honey (Miele) 
Mansfield Park ,Jalla! Jalla! 
Mansfield Park ,Terminal
Mansfield Park ,10 Items or Less 
Mansfield Park ,For Roseanna (Roseanna's Grave) 
Mansfield Park ,Cooler
Sleepy Hollow ,Prophecy
Sleepy Hollow ,Red Riding Hood 
Sleepy Hollow ,Ninth Gate
Sleepy Hollow ,Heartless 
"World Is Not Enough, The ",Quantum of Solace 
"World Is Not Enough, The ",Goldfinger 
"World Is Not Enough, The ",View to a Kill
"World Is Not Enough, The ",Surviving the Game 
"World Is Not Enough, The ",Rock
All About My Mother (Todo sobre mi madre) ,French Lieutenant's Woman
All About My Mother (Todo sobre mi madre) ,Camera Buff (Amator) 
All About My Mother (Todo sobre mi madre) ,Children Are Watching Us
All About My Mother (Todo sobre mi madre) ,Return of Martin Guerre
All About My Mother (Todo sobre mi madre) ,Honey (Miele) 
Babes in Toyland ,Peter Pan 
Babes in Toyland ,5
Babes in Toyland ,Babes in Toyland 
Babes in Toyland ,Willy Wonka & the Chocolate Factory 
Scrooged ,Here Comes Mr. Jordan 
Scrooged ,My Super Ex-Girlfriend 
Scrooged ,Bewitched 
Scrooged ,Bell
Scrooged ,Just Like Heaven 
Harvey ,Drop Dead Fred 
Harvey ,Icicle Thief
Harvey ,Death Becomes Her 
Harvey ,Evan Almighty 
Harvey ,Reckless 
Bicycle Thieves (a.k.a. The Bicycle Thief) (a.k.a. The Bicycle Thieves) (Ladri di biciclette) ,French Lieutenant's Woman
Bicycle Thieves (a.k.a. The Bicycle Thief) (a.k.a. The Bicycle Thieves) (Ladri di biciclette) ,Camera Buff (Amator) 
Bicycle Thieves (a.k.a. The Bicycle Thief) (a.k.a. The Bicycle Thieves) (Ladri di biciclette) ,Children Are Watching Us
Bicycle Thieves (a.k.a. The Bicycle Thief) (a.k.a. The Bicycle Thieves) (Ladri di biciclette) ,Return of Martin Guerre
Bicycle Thieves (a.k.a. The Bicycle Thief) (a.k.a. The Bicycle Thieves) (Ladri di biciclette) ,Honey (Miele) 
Matewan ,French Lieutenant's Woman
Matewan ,Camera Buff (Amator) 
Matewan ,Children Are Watching Us
Matewan ,Return of Martin Guerre
Matewan ,Honey (Miele) 
Kagemusha ,Human Condition I
Kagemusha ,Boy in the Striped Pajamas
Kagemusha ,Ashes and Diamonds (Popiól i diament) 
Kagemusha ,Turtles Can Fly (Lakposhtha hâm parvaz mikonand) 
Kagemusha ,Gardens of Stone 
McCabe & Mrs. Miller ,Lonely Are the Brave 
McCabe & Mrs. Miller ,Great Silence
McCabe & Mrs. Miller ,Hud 
McCabe & Mrs. Miller ,Unforgiven 
McCabe & Mrs. Miller ,High Noon 
Maurice ,Crazy/Beautiful 
Maurice ,Memoirs of a Geisha 
Maurice ,To Gillian on Her 37th Birthday 
Maurice ,Beautiful Thing 
Maurice ,Girl on the Bridge
"Grapes of Wrath, The ",French Lieutenant's Woman
"Grapes of Wrath, The ",Camera Buff (Amator) 
"Grapes of Wrath, The ",Children Are Watching Us
"Grapes of Wrath, The ",Return of Martin Guerre
"Grapes of Wrath, The ",Honey (Miele) 
My Man Godfrey ,I'll Be Home For Christmas 
My Man Godfrey ,Guru
My Man Godfrey ,Hard Promises 
My Man Godfrey ,40 Days and 40 Nights 
My Man Godfrey ,10 
"Shop Around the Corner, The ",Jalla! Jalla! 
"Shop Around the Corner, The ",Terminal
"Shop Around the Corner, The ",10 Items or Less 
"Shop Around the Corner, The ",For Roseanna (Roseanna's Grave) 
"Shop Around the Corner, The ",Cooler
"Natural, The ",French Lieutenant's Woman
"Natural, The ",Camera Buff (Amator) 
"Natural, The ",Children Are Watching Us
"Natural, The ",Return of Martin Guerre
"Natural, The ",Honey (Miele) 
Shampoo ,Jalla! Jalla! 
Shampoo ,Terminal
Shampoo ,10 Items or Less 
Shampoo ,For Roseanna (Roseanna's Grave) 
Shampoo ,Cooler
"River Runs Through It, A ",French Lieutenant's Woman
"River Runs Through It, A ",Camera Buff (Amator) 
"River Runs Through It, A ",Children Are Watching Us
"River Runs Through It, A ",Return of Martin Guerre
"River Runs Through It, A ",Honey (Miele) 
Fatal Attraction ,The Perfect Guy 
Fatal Attraction ,Niagara 
Fatal Attraction ,First Snow 
Fatal Attraction ,Firm
Fatal Attraction ,Bad Education (La mala educación) 
Jagged Edge ,B. Monkey 
Jagged Edge ,Duplicity 
Jagged Edge ,Subway 
Jagged Edge ,21 
Stanley & Iris ,Crazy/Beautiful 
Stanley & Iris ,Memoirs of a Geisha 
Stanley & Iris ,To Gillian on Her 37th Birthday 
Stanley & Iris ,Beautiful Thing 
Stanley & Iris ,Girl on the Bridge
Midnight Run ,Remo Williams: The Adventure Begins 
Midnight Run ,Beverly Hills Cop II 
Midnight Run ,Ocean's Twelve 
Midnight Run ,Kindergarten Cop 
Midnight Run ,Formula 51 
Awakenings ,Klute 
Awakenings ,Smiley's People 
Awakenings ,Buster's Mal Heart 
Awakenings ,Anatomy of a Murder 
Awakenings ,Birth 
Come See the Paradise ,Crazy/Beautiful 
Come See the Paradise ,Memoirs of a Geisha 
Come See the Paradise ,To Gillian on Her 37th Birthday 
Come See the Paradise ,Beautiful Thing 
Come See the Paradise ,Girl on the Bridge
Backdraft ,The Magnificent Ruffians 
Backdraft ,Paid in Full 
Backdraft ,Running Scared 
Backdraft ,Soul Surfer 
Backdraft ,Series 7: The Contenders 
"Fisher King, The ",Price of Milk
"Fisher King, The ",Arizona Dream 
"Fisher King, The ",P.S. 
"Fisher King, The ",Defending Your Life 
"Fisher King, The ",Stranger than Fiction 
"River, The ",French Lieutenant's Woman
"River, The ",Camera Buff (Amator) 
"River, The ",Children Are Watching Us
"River, The ",Return of Martin Guerre
"River, The ",Honey (Miele) 
Places in the Heart ,French Lieutenant's Woman
Places in the Heart ,Camera Buff (Amator) 
Places in the Heart ,Children Are Watching Us
Places in the Heart ,Return of Martin Guerre
Places in the Heart ,Honey (Miele) 
'night Mother ,French Lieutenant's Woman
'night Mother ,Camera Buff (Amator) 
'night Mother ,Children Are Watching Us
'night Mother ,Return of Martin Guerre
'night Mother ,Honey (Miele) 
End of Days ,Red Riding Hood 
End of Days ,Heartless 
End of Days ,Ninth Gate
End of Days ,Mothman Prophecies
Toy Story 2 ,Toy Story 
Toy Story 2 ,Adventures of Rocky and Bullwinkle
Toy Story 2 ,Antz 
Toy Story 2 ,Emperor's New Groove
Flawless ,French Lieutenant's Woman
Flawless ,Camera Buff (Amator) 
Flawless ,Children Are Watching Us
Flawless ,Return of Martin Guerre
Flawless ,Honey (Miele) 
Ride with the Devil ,Captain Corelli's Mandolin 
Ride with the Devil ,Love Is a Many-Splendored Thing 
Ride with the Devil ,Beyond Borders 
Ride with the Devil ,Hiroshima Mon Amour 
"Distinguished Gentleman, The ",Andrew Dice Clay: Dice Rules 
"Distinguished Gentleman, The ",Night Shift 
"Distinguished Gentleman, The ",Joe Dirt 2: Beautiful Loser 
"Distinguished Gentleman, The ",I'm Starting From Three (Ricomincio da Tre) 
"Distinguished Gentleman, The ",My Boyfriend's Back 
"End of the Affair, The ",French Lieutenant's Woman
"End of the Affair, The ",Camera Buff (Amator) 
"End of the Affair, The ",Children Are Watching Us
"End of the Affair, The ",Return of Martin Guerre
"End of the Affair, The ",Honey (Miele) 
Holy Smoke ,My Father the Hero (Mon père
Holy Smoke ,Miracle on 34th Street 
Holy Smoke ,Mrs. Doubtfire 
Holy Smoke ,Liberal Arts 
Holy Smoke ,Mental 
Sweet and Lowdown ,My Father the Hero (Mon père
Sweet and Lowdown ,Miracle on 34th Street 
Sweet and Lowdown ,Mrs. Doubtfire 
Sweet and Lowdown ,Liberal Arts 
Sweet and Lowdown ,Mental 
Bonfire of the Vanities ,Intermission 
Bonfire of the Vanities ,Girltrash: All Night Long 
Bonfire of the Vanities ,Spun 
Bonfire of the Vanities ,Dragnet 
Bonfire of the Vanities ,Crimes and Misdemeanors 
Daddy Long Legs ,My Father the Hero (Mon père
Daddy Long Legs ,Miracle on 34th Street 
Daddy Long Legs ,Mrs. Doubtfire 
Daddy Long Legs ,Liberal Arts 
Daddy Long Legs ,Mental 
Grand Illusion (La grande illusion) ,Human Condition I
Grand Illusion (La grande illusion) ,Boy in the Striped Pajamas
Grand Illusion (La grande illusion) ,Ashes and Diamonds (Popiól i diament) 
Grand Illusion (La grande illusion) ,Turtles Can Fly (Lakposhtha hâm parvaz mikonand) 
Grand Illusion (La grande illusion) ,Gardens of Stone 
"Great Santini, The ",French Lieutenant's Woman
"Great Santini, The ",Camera Buff (Amator) 
"Great Santini, The ",Children Are Watching Us
"Great Santini, The ",Return of Martin Guerre
"Great Santini, The ",Honey (Miele) 
Stealing Home ,French Lieutenant's Woman
Stealing Home ,Camera Buff (Amator) 
Stealing Home ,Children Are Watching Us
Stealing Home ,Return of Martin Guerre
Stealing Home ,Honey (Miele) 
"Two Jakes, The ",French Lieutenant's Woman
"Two Jakes, The ",Camera Buff (Amator) 
"Two Jakes, The ",Children Are Watching Us
"Two Jakes, The ",Return of Martin Guerre
"Two Jakes, The ",Honey (Miele) 
U2: Rattle and Hum ,Anvil! The Story of Anvil 
U2: Rattle and Hum ,Buena Vista Social Club 
U2: Rattle and Hum ,Pearl Jam Twenty 
U2: Rattle and Hum ,Madonna: Truth or Dare 
U2: Rattle and Hum ,Decline of Western Civilization
Hell in the Pacific ,Human Condition I
Hell in the Pacific ,Boy in the Striped Pajamas
Hell in the Pacific ,Ashes and Diamonds (Popiól i diament) 
Hell in the Pacific ,Turtles Can Fly (Lakposhtha hâm parvaz mikonand) 
Hell in the Pacific ,Gardens of Stone 
Cradle Will Rock ,French Lieutenant's Woman
Cradle Will Rock ,Camera Buff (Amator) 
Cradle Will Rock ,Children Are Watching Us
Cradle Will Rock ,Return of Martin Guerre
Cradle Will Rock ,Honey (Miele) 
Deuce Bigalow: Male Gigolo ,Andrew Dice Clay: Dice Rules 
Deuce Bigalow: Male Gigolo ,Night Shift 
Deuce Bigalow: Male Gigolo ,Joe Dirt 2: Beautiful Loser 
Deuce Bigalow: Male Gigolo ,I'm Starting From Three (Ricomincio da Tre) 
Deuce Bigalow: Male Gigolo ,My Boyfriend's Back 
"Green Mile, The ",Irrational Man 
"Green Mile, The ",Mean Streets 
"Green Mile, The ",Pride and Glory 
"Green Mile, The ",Felon 
"Green Mile, The ",Godfather
"Cider House Rules, The ",French Lieutenant's Woman
"Cider House Rules, The ",Camera Buff (Amator) 
"Cider House Rules, The ",Children Are Watching Us
"Cider House Rules, The ",Return of Martin Guerre
"Cider House Rules, The ",Honey (Miele) 
"War Zone, The ",The Perfect Guy 
"War Zone, The ",Niagara 
"War Zone, The ",First Snow 
"War Zone, The ",Firm
"War Zone, The ",Bad Education (La mala educación) 
"Last Picture Show, The ",French Lieutenant's Woman
"Last Picture Show, The ",Camera Buff (Amator) 
"Last Picture Show, The ",Children Are Watching Us
"Last Picture Show, The ",Return of Martin Guerre
"Last Picture Show, The ",Honey (Miele) 
"7th Voyage of Sinbad, The ",Street Fighter 
"7th Voyage of Sinbad, The ",Librarian
"7th Voyage of Sinbad, The ",Librarian: Return to King Solomon's Mines
"7th Voyage of Sinbad, The ",13th Warrior
"7th Voyage of Sinbad, The ",Red Sonja 
Anna and the King ,Crazy/Beautiful 
Anna and the King ,Memoirs of a Geisha 
Anna and the King ,To Gillian on Her 37th Birthday 
Anna and the King ,Beautiful Thing 
Anna and the King ,Girl on the Bridge
Bicentennial Man ,Another Earth 
Bicentennial Man ,Upside Down 
Bicentennial Man ,Never Let Me Go 
Bicentennial Man ,Miracle Mile 
Bicentennial Man ,Solaris 
Stuart Little ,Kazaam 
Stuart Little ,Aquamarine 
Stuart Little ,How the Grinch Stole Christmas (a.k.a. The Grinch) 
Stuart Little ,Addams Family Reunion 
Stuart Little ,Like Mike 
"Emperor and the Assassin, The (Jing ke ci qin wang) ",French Lieutenant's Woman
"Emperor and the Assassin, The (Jing ke ci qin wang) ",Camera Buff (Amator) 
"Emperor and the Assassin, The (Jing ke ci qin wang) ",Children Are Watching Us
"Emperor and the Assassin, The (Jing ke ci qin wang) ",Return of Martin Guerre
"Emperor and the Assassin, The (Jing ke ci qin wang) ",Honey (Miele) 
Fantasia 2000 ,Lion King
Fantasia 2000 ,Beauty and the Beast 
Fantasia 2000 ,Tangled 
Fantasia 2000 ,Happy Feet Two 
Magnolia ,French Lieutenant's Woman
Magnolia ,Camera Buff (Amator) 
Magnolia ,Children Are Watching Us
Magnolia ,Return of Martin Guerre
Magnolia ,Honey (Miele) 
Onegin ,Crazy/Beautiful 
Onegin ,Memoirs of a Geisha 
Onegin ,To Gillian on Her 37th Birthday 
Onegin ,Beautiful Thing 
Onegin ,Girl on the Bridge
Simpatico ,My Father the Hero (Mon père
Simpatico ,Miracle on 34th Street 
Simpatico ,Mrs. Doubtfire 
Simpatico ,Liberal Arts 
Simpatico ,Mental 
Topsy-Turvy ,It's All Gone Pete Tong 
Topsy-Turvy ,Everybody's Famous! (Iedereen beroemd!) 
Topsy-Turvy ,Hair 
Topsy-Turvy ,24 Hour Party People 
Topsy-Turvy ,Chorus Line
Boiling Point ,The Magnificent Ruffians 
Boiling Point ,Paid in Full 
Boiling Point ,Running Scared 
Boiling Point ,Soul Surfer 
Boiling Point ,Series 7: The Contenders 
Carnal Knowledge ,My Father the Hero (Mon père
Carnal Knowledge ,Miracle on 34th Street 
Carnal Knowledge ,Mrs. Doubtfire 
Carnal Knowledge ,Liberal Arts 
Carnal Knowledge ,Mental 
Easy Rider ,Snow Walker
Easy Rider ,Fitzcarraldo 
Easy Rider ,White Hunter
Easy Rider ,Walkabout 
Easy Rider ,Bounty
The Falcon and the Snowman ,Boiler Room 
The Falcon and the Snowman ,Citizen X 
The Falcon and the Snowman ,Cleanskin 
The Falcon and the Snowman ,Perfect World
The Falcon and the Snowman ,Anything for Her (Pour elle) 
Room at the Top ,French Lieutenant's Woman
Room at the Top ,Camera Buff (Amator) 
Room at the Top ,Children Are Watching Us
Room at the Top ,Return of Martin Guerre
Room at the Top ,Honey (Miele) 
Any Given Sunday ,French Lieutenant's Woman
Any Given Sunday ,Camera Buff (Amator) 
Any Given Sunday ,Children Are Watching Us
Any Given Sunday ,Return of Martin Guerre
Any Given Sunday ,Honey (Miele) 
Man on the Moon ,My Father the Hero (Mon père
Man on the Moon ,Miracle on 34th Street 
Man on the Moon ,Mrs. Doubtfire 
Man on the Moon ,Liberal Arts 
Man on the Moon ,Mental 
Galaxy Quest ,Back to the Future Part II 
Galaxy Quest ,Howard the Duck 
Galaxy Quest ,Paul 
Galaxy Quest ,Barbarella 
Galaxy Quest ,Hitch Hikers Guide to the Galaxy
"Talented Mr. Ripley, The ",Eyes Wide Shut 
"Talented Mr. Ripley, The ",Unknown 
"Talented Mr. Ripley, The ",Game
"Talented Mr. Ripley, The ",Swimming Pool 
"Talented Mr. Ripley, The ",Number 23
Next Friday ,Andrew Dice Clay: Dice Rules 
Next Friday ,Night Shift 
Next Friday ,Joe Dirt 2: Beautiful Loser 
Next Friday ,I'm Starting From Three (Ricomincio da Tre) 
Next Friday ,My Boyfriend's Back 
"Hurricane, The ",French Lieutenant's Woman
"Hurricane, The ",Camera Buff (Amator) 
"Hurricane, The ",Children Are Watching Us
"Hurricane, The ",Return of Martin Guerre
"Hurricane, The ",Honey (Miele) 
Angela's Ashes ,French Lieutenant's Woman
Angela's Ashes ,Camera Buff (Amator) 
Angela's Ashes ,Children Are Watching Us
Angela's Ashes ,Return of Martin Guerre
Angela's Ashes ,Honey (Miele) 
Titus ,French Lieutenant's Woman
Titus ,Camera Buff (Amator) 
Titus ,Children Are Watching Us
Titus ,Return of Martin Guerre
Titus ,Honey (Miele) 
"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr. ",Dancemaker 
"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr. ",Regret to Inform 
"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr. ",Little Dieter Needs to Fly 
"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr. ",First Position 
"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr. ",Amanda Knox 
"Third Miracle, The ",French Lieutenant's Woman
"Third Miracle, The ",Camera Buff (Amator) 
"Third Miracle, The ",Children Are Watching Us
"Third Miracle, The ",Return of Martin Guerre
"Third Miracle, The ",Honey (Miele) 
Snow Falling on Cedars ,French Lieutenant's Woman
Snow Falling on Cedars ,Camera Buff (Amator) 
Snow Falling on Cedars ,Children Are Watching Us
Snow Falling on Cedars ,Return of Martin Guerre
Snow Falling on Cedars ,Honey (Miele) 
"Girl, Interrupted ",French Lieutenant's Woman
"Girl, Interrupted ",Camera Buff (Amator) 
"Girl, Interrupted ",Children Are Watching Us
"Girl, Interrupted ",Return of Martin Guerre
"Girl, Interrupted ",Honey (Miele) 
My Dog Skip ,Secret Garden
My Dog Skip ,I Remember Mama 
My Dog Skip ,Dreamer: Inspired by a True Story 
My Dog Skip ,National Velvet 
Supernova ,Saturn 3 
Supernova ,The 5th Wave 
Supernova ,The Hunger Games: Mockingjay - Part 1 
Supernova ,Sunshine 
"Terrorist, The (a.k.a. Malli) (Theeviravaathi) ",French Lieutenant's Woman
"Terrorist, The (a.k.a. Malli) (Theeviravaathi) ",Camera Buff (Amator) 
"Terrorist, The (a.k.a. Malli) (Theeviravaathi) ",Children Are Watching Us
"Terrorist, The (a.k.a. Malli) (Theeviravaathi) ",Return of Martin Guerre
"Terrorist, The (a.k.a. Malli) (Theeviravaathi) ",Honey (Miele) 
"Way We Were, The ",Crazy/Beautiful 
"Way We Were, The ",Memoirs of a Geisha 
"Way We Were, The ",To Gillian on Her 37th Birthday 
"Way We Were, The ",Beautiful Thing 
"Way We Were, The ",Girl on the Bridge
Stalag 17 ,Human Condition I
Stalag 17 ,Boy in the Striped Pajamas
Stalag 17 ,Ashes and Diamonds (Popiól i diament) 
Stalag 17 ,Turtles Can Fly (Lakposhtha hâm parvaz mikonand) 
Stalag 17 ,Gardens of Stone 
"Presidio, The ",Femme Nikita
"Presidio, The ",Romeo Must Die 
"Presidio, The ",B. Monkey 
"Presidio, The ",Jagged Edge 
Papillon ,Irrational Man 
Papillon ,Mean Streets 
Papillon ,Pride and Glory 
Papillon ,Felon 
Papillon ,Godfather
"Last Detail, The ",My Father the Hero (Mon père
"Last Detail, The ",Miracle on 34th Street 
"Last Detail, The ",Mrs. Doubtfire 
"Last Detail, The ",Liberal Arts 
"Last Detail, The ",Mental 
Five Easy Pieces ,French Lieutenant's Woman
Five Easy Pieces ,Camera Buff (Amator) 
Five Easy Pieces ,Children Are Watching Us
Five Easy Pieces ,Return of Martin Guerre
Five Easy Pieces ,Honey (Miele) 
Dead Calm ,Return to Sender 
Dead Calm ,Torn Curtain 
Dead Calm ,Cop 
Dead Calm ,Hideaway 
Dead Calm ,Swimfan 
"Boys from Brazil, The ",Duel 
"Boys from Brazil, The ",52 Pick-Up 
"Boys from Brazil, The ",Brotherhood of the Wolf (Pacte des loups
"Boys from Brazil, The ",Terminal Velocity 
"Boys from Brazil, The ",Echelon Conspiracy 
Against All Odds ,Open Hearts (Elsker dig for evigt) 
Against All Odds ,Fall 
Against All Odds ,Message in a Bottle 
Against All Odds ,Kama Sutra: A Tale of Love 
Against All Odds ,Love Jones 
Loaded Weapon 1 (National Lampoon's Loaded Weapon 1) ,Ride Along 2 
Loaded Weapon 1 (National Lampoon's Loaded Weapon 1) ,Stop! Or My Mom Will Shoot 
Loaded Weapon 1 (National Lampoon's Loaded Weapon 1) ,Let the Bullets Fly 
Loaded Weapon 1 (National Lampoon's Loaded Weapon 1) ,City Heat 
Loaded Weapon 1 (National Lampoon's Loaded Weapon 1) ,Hard Ticket to Hawaii 
Fast Times at Ridgemont High ,Jalla! Jalla! 
Fast Times at Ridgemont High ,Terminal
Fast Times at Ridgemont High ,10 Items or Less 
Fast Times at Ridgemont High ,For Roseanna (Roseanna's Grave) 
Fast Times at Ridgemont High ,Cooler
"Cry in the Dark, A ",French Lieutenant's Woman
"Cry in the Dark, A ",Camera Buff (Amator) 
"Cry in the Dark, A ",Children Are Watching Us
"Cry in the Dark, A ",Return of Martin Guerre
